2016-07-04 18:59:09 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126331, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:09 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126331, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399156, latitude=23.126334, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399156, latitude=23.126335, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399156, latitude=23.126335, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126331, type=1, distance=0, ip=183.41.40.220
2016-07-04 18:59:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=112.96.100.91
2016-07-04 19:11:02 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 19:11:02 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 19:11:02 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400117, latitude=23.124656, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:11:02 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400117, latitude=23.124656, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:11:02 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400117, latitude=23.124656, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:11:03 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400117, latitude=23.124656, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:11:03 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400114, latitude=23.124657, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:11:03 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400112, latitude=23.124657, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:53 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 19:15:53 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399536, latitude=23.125689, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:15:54 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 19:16:12 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 19:16:12 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
